,Item Name,Serving Size (G),Calories, Protein (g), Total Fat (g),Total Carbs (g),Sodium (mg),Calories from Fat,Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Fiber (g),Sugars (g),Weight Watchers,Category
74,Steak Quesadilla,181,520,27,28.0,40,1160,250,12.0,0.5,70,4,3,14,Snacks & Sides
75,Tostada,164,270,12,11.0,31,650,100,4.0,0.0,15,8,1,8,Snacks & Sides
76,Express Taco Salad w/ Chips,398,580,23,29.0,57,1370,260,10.0,1.0,55,9,6,16,Salads
77,Fiesta Taco Salad-Beef,457,780,26,42.0,74,1590,380,10.0,1.0,55,11,7,22,Salads
78,Fiesta Taco Salad-Chicken,457,730,32,35.0,71,1470,320,7.0,0.0,70,8,7,20,Salads
79,Fiesta Taco Salad-Steak,457,750,33,36.0,72,1410,330,8.0,0.5,60,9,7,20,Salads
80,Chicken Soft Taco,92,160,12,5.0,16,480,50,2.5,0.0,25,2,1,4,Chicken & Fish
81,Cool Ranch® Doritos® Locos Taco,78,160,8,10.0,13,370,90,3.5,0.0,25,3,1,5,Beef & Pork
82,Cool Ranch® Doritos® Locos Taco Supreme,113,200,8,12.0,15,390,110,5.0,0.0,30,3,3,6,Beef & Pork
83,Crunchy Taco,78,170,8,10.0,12,310,90,3.5,0.0,25,3,1,5,Beef & Pork
84,Crunchy Taco Supreme®,113,200,9,12.0,15,340,110,5.0,0.0,30,3,2,6,Beef & Pork
85,DOUBLE DECKER® Taco Supreme®,184,350,14,16.0,39,730,140,6.0,0.0,30,7,3,10,Beef & Pork
86,Double Decker® Taco,149,320,14,14.0,36,710,120,5.0,0.0,25,7,2,9,Beef & Pork
87,Fiery Doritos® Locos Taco,78,170,8,10.0,12,370,90,3.5,0.0,25,3,1,5,Beef & Pork
88,Fiery Doritos® Locos Taco Supreme,113,200,9,12.0,15,390,110,5.0,0.0,30,3,2,6,Beef & Pork
89,Fresco Chicken Soft Taco,106,140,10,3.5,16,470,30,1.0,0.0,15,2,2,4,Chicken & Fish
90,Fresco Crunchy Taco,92,150,6,8.0,13,310,70,2.5,0.0,20,3,1,4,Beef & Pork
91,Grilled Steak Soft Taco,112,200,13,9.0,17,450,80,3.0,0.0,30,2,2,5,Beef & Pork
92,Nacho Cheese Doritos® Locos Taco,78,170,8,10.0,13,360,90,3.5,0.0,25,3,1,5,Beef & Pork
93,Nacho Cheese Doritos® Locos Taco Supreme,113,200,9,12.0,15,390,100,5.0,0.0,30,3,2,6,Beef & Pork
94,Soft Taco Supreme® – Beef,128,220,10,11.0,20,520,100,5.0,0.0,30,3,3,6,Beef & Pork
95,Soft Taco-Beef,92,190,9,9.0,18,500,80,4.0,0.0,25,3,1,5,Beef & Pork
