,Item Name,Serving Size (G),Calories, Protein (g), Total Fat (g),Total Carbs (g),Sodium (mg),Calories from Fat,Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Fiber (g),Sugars (g),Weight Watchers,Category
94,Cantina Burrito – Steak,447,760,33,28.0,95,1870,250,7.0,0.0,50,13,8,21,Cantina Bell
95,Cantina Burrito – Veggie,424,720,20,25.0,104,1710,230,5.0,0.0,10,17,8,20,Cantina Bell
96,Cantina Double Steak Quesadilla,438,960,43,45.0,97,2070,400,19.0,1.0,115,9,10,26,Cantina Bell
97,Chalupa Supreme® – Chicken,153,340,16,18.0,29,530,160,4.0,0.0,40,3,4,9,Chalupas
98,Chalupa Supreme® – Steak,153,350,16,19.0,30,500,170,4.5,0.0,35,3,4,10,Chalupas
99,Chalupa Supreme® – Beef,153,370,13,22.0,31,590,190,6.0,0.5,30,5,4,10,Chalupas
100,Avocado Ranch Dressing,14,80,0,8.0,1,100,70,1.5,0.0,5,0,0,2,Condiments
101,Border Sauce – Fire,7,0,0,0.0,0,60,0,0.0,0.0,0,0,0,0,Condiments
102,Border Sauce – Hot,7,0,0,0.0,0,45,0,0.0,0.0,0,0,0,0,Condiments
103,Border Sauce – Mild,7,0,0,0.0,0,35,0,0.0,0.0,0,0,0,0,Condiments
104,Cilantro Dressing,28,90,0,9.0,2,210,80,1.5,0.0,10,0,0,3,Condiments
105,Creamy Jalapeno Sauce,14,70,0,7.0,1,50,70,1.0,0.0,0,0,1,2,Condiments
106,Green Tomatillo Sauce,28,10,0,0.0,2,170,0,0.0,0.0,0,0,1,0,Condiments
107,Pepper Jack Sauce,14,70,0,7.0,1,50,60,1.0,0.0,5,0,0,2,Condiments
108,Pico de Gallo,21,5,0,0.0,1,35,0,0.0,0.0,0,0,1,0,Condiments
109,Pizza Sauce,28,10,0,0.0,2,75,0,0.0,0.0,0,0,1,0,Condiments
110,Red Sauce,28,10,0,0.0,2,180,0,0.0,0.0,0,0,0,0,Condiments
111,Reduced Fat Sour Cream,21,30,1,2.0,2,20,20,1.0,0.0,5,0,1,1,Condiments
112,Salsa,85,25,1,0.0,5,450,0,0.0,0.0,0,1,3,1,Condiments
113,Salsa Verde,6,5,0,0.0,1,55,0,0.0,0.0,0,0,0,0,Condiments
114,Fresco Burrito Supreme® – Chicken,232,340,18,8.0,49,1090,70,2.5,0.0,15,7,4,9,Fresco
115,Fresco Burrito Supreme® – Steak,232,350,18,9.0,50,1020,80,3.0,0.0,20,6,4,10,Fresco
116,Fresco Chicken Soft Taco,106,140,10,3.5,16,470,30,1.0,0.0,15,2,2,4,Fresco
117,Fresco Crunchy Taco,92,150,6,8.0,13,310,70,2.5,0.0,20,3,1,4,Fresco
118,Fresco Grilled Steak Soft Taco,120,150,11,4.0,18,410,35,1.5,0.0,20,2,2,4,Fresco
119,Fresco Soft Taco,106,160,8,7.0,18,490,60,2.5,0.0,20,3,2,5,Fresco
120,Cheesy Gordita Crunch,174,500,20,29.0,39,830,260,10.0,0.5,55,5,6,14,Snacks & Sides
121,Gordita Supreme® – Chicken,153,270,16,10.0,29,510,90,3.5,0.0,40,2,6,7,Snacks & Sides
122,Gordita Supreme® – Steak,153,280,16,11.0,30,480,100,4.0,0.0,35,3,6,8,Snacks & Sides
123,Gordita Supreme® – Beef,153,300,13,14.0,31,570,120,5.0,0.0,30,4,6,8,Snacks & Sides
124,Cheesy Nachos,82,290,4,16.0,31,340,150,1.5,0.0,0,3,2,8,Snacks & Sides
125,Nachos,102,320,4,19.0,33,430,170,2.0,0.0,0,3,3,9,Snacks & Sides
126,Nachos BellGrande®,308,780,20,40.0,84,1270,360,7.0,0.0,25,13,6,22,Snacks & Sides
127,Nachos Supreme,203,460,13,25.0,46,830,220,5.0,0.0,25,8,4,13,Snacks & Sides
128,Volcano Nachos,357,990,22,59.0,94,1840,530,9.0,0.5,40,15,7,28,Snacks & Sides
129,Black Beans,62,80,4,1.5,12,200,10,0.0,0.0,0,5,1,2,Snacks & Sides
130,Black Beans and Rice,136,180,6,4.0,30,430,35,0.0,0.0,0,5,1,5,Snacks & Sides
131,Brownie Sandwich,87,400,3,18.0,55,200,170,8.0,0.0,20,3,38,11,Snacks & Sides
132,Caramel Apple Empanada,85,310,3,15.0,39,310,140,2.5,0.0,0,2,13,8,Snacks & Sides
133,Cheesy Fiesta Potatoes,126,280,4,15.0,31,580,140,2.5,0.0,10,3,2,8,Snacks & Sides
134,Chips and Corn Salsa,106,280,4,12.0,38,230,110,1.0,0.0,0,6,5,8,Snacks & Sides
135,Chips and Guacamole,106,320,4,20.0,32,450,180,2.5,0.0,0,6,1,9,Snacks & Sides
136,Chips and Pico De Gallo,106,230,3,11.0,30,260,100,1.0,0.0,0,3,2,6,Snacks & Sides
137,Churro,59,190,2,8.0,28,230,80,1.0,0.0,15,1,5,5,Snacks & Sides
138,Cinnamon Twists,35,170,1,7.0,26,200,60,0.0,0.0,0,1,10,5,Snacks & Sides
139,Pintos n Cheese,122,190,11,7.0,21,670,60,3.0,0.0,10,6,1,5,Snacks & Sides
140,Premium Latin Rice,74,100,2,2.5,18,230,25,0.0,0.0,0,0,0,3,Snacks & Sides
141,A.M. Crunchwrap™ Bacon,204,660,21,41.0,51,1270,370,12.0,0.0,130,4,3,18,Specialties
142,A.M. Crunchwrap™ Sausage,218,700,21,46.0,51,1250,410,14.0,0.5,135,4,3,19,Specialties
143,Bacon A.M. Griller,78,240,12,14.0,16,590,130,5.0,0.0,105,1,1,6,Specialties
144,Beefy Nacho Griller,156,420,12,19.0,49,890,170,4.5,0.0,20,5,4,11,Specialties
145,Cantina Bowl – Chicken,415,530,26,21.0,59,1450,190,3.5,0.0,60,9,4,14,Specialties
146,Cantina Bowl – Steak,415,550,26,23.0,60,1390,200,4.0,0.0,50,9,4,15,Specialties
147,Cantina Bowl – Veggie,393,510,14,20.0,69,1240,180,3.0,0.0,10,14,4,14,Specialties
148,Cantina Double Steak Quesadilla,438,960,43,45.0,97,2070,400,19.0,1.0,115,9,10,26,Specialties
149,Cheese Quesadilla,139,470,19,26.0,39,990,240,11.0,0.5,50,4,3,13,Specialties
150,Cheese Roll-Up,57,180,9,9.0,16,430,80,5.0,0.0,20,2,1,5,Specialties
151,Chicken Quesadilla,181,510,27,28.0,39,1190,250,12.0,0.5,75,4,3,14,Specialties
152,Chili Cheese Burrito,153,370,16,17.0,40,910,150,8.0,0.5,35,5,2,10,Specialties
153,Crunchwrap Supreme®,245,530,16,20.0,70,1090,180,6.0,0.0,25,7,6,14,Specialties
154,Express Taco Salad w/ Chips,398,580,23,29.0,57,1370,260,10.0,1.0,55,9,6,16,Specialties
155,Loaded Potato Griller,177,470,13,22.0,55,1120,200,6.0,0.0,25,4,5,13,Specialties
156,MexiMelt®,120,260,14,14.0,19,730,120,7.0,0.5,40,4,2,7,Specialties
157,Mexican Pizza,213,550,21,31.0,48,950,280,8.0,0.5,40,7,3,15,Specialties
158,Sausage A.M. Griller,78,230,9,14.0,16,450,130,5.0,0.0,100,1,1,6,Specialties
159,Smothered Burrito – Beef,387,710,28,35.0,70,2260,320,13.0,1.0,75,10,4,19,Specialties
160,Smothered Burrito – Shredded Chicken,387,650,34,28.0,67,2230,250,10.0,0.0,70,8,4,18,Specialties
161,Smothered Burrito – Steak,387,670,35,29.0,68,2080,260,11.0,0.5,80,7,4,18,Specialties
162,Spicy Buffalo Chicken Griller,149,350,15,15.0,40,810,140,4.5,0.0,40,3,4,10,Specialties
163,Steak Quesadilla,181,520,27,28.0,40,1160,250,12.0,0.5,70,4,3,14,Specialties
