,Category,Item Name,Calories,Calories from Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbs (g),Fiber (g),Sugars (g),Protein (g),Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value)
144,Beverages,Mocha with Nonfat Milk (Large),390,35,4.0,2.5,0.0,20,240,73,2,64,17,20,0,50,8
145,Beverages,Caramel Mocha (Small),320,100,11.0,7.0,0.0,35,170,45,1,40,10,10,0,30,2
146,Beverages,Caramel Mocha (Medium),390,120,14.0,8.0,0.5,40,220,55,1,50,12,15,0,40,2
147,Beverages,Caramel Mocha (Large),480,150,17.0,10.0,0.5,50,270,66,1,60,16,15,0,50,4
148,Beverages,Nonfat Caramel Mocha (Small),250,30,3.5,2.0,0.0,15,170,45,1,41,10,10,0,35,2
149,Beverages,Nonfat Caramel Mocha (Medium),310,30,3.5,2.0,0.0,15,210,56,1,51,13,15,0,40,2
150,Beverages,Nonfat Caramel Mocha (Large),370,35,3.5,2.5,0.0,20,270,67,1,61,17,20,0,50,4
151,Beverages,Hot Chocolate (Small),360,120,13.0,8.0,0.0,40,180,50,1,45,11,10,0,40,6
152,Beverages,Hot Chocolate (Medium),440,140,16.0,9.0,0.5,50,220,61,1,56,14,15,0,45,6
153,Beverages,Hot Chocolate (Large),540,180,20.0,12.0,0.5,60,280,73,1,68,17,20,0,60,8
154,Beverages,Hot Chocolate with Nonfat Milk (Small),280,30,3.5,2.0,0.0,15,180,50,1,46,12,15,0,40,6
155,Beverages,Hot Chocolate with Nonfat Milk (Medium),340,30,3.5,2.0,0.0,15,220,61,1,57,14,20,0,50,6
156,Beverages,Hot Chocolate with Nonfat Milk (Large),400,35,3.5,2.5,0.0,20,280,74,1,69,19,25,0,60,8
157,Beverages,Regular Iced Coffee (Small),140,40,4.5,3.0,0.0,15,35,23,0,22,1,4,0,4,0
158,Beverages,Regular Iced Coffee (Medium),190,60,7.0,4.5,0.0,25,50,31,0,30,1,4,0,4,0
159,Beverages,Regular Iced Coffee (Large),270,80,9.0,6.0,0.0,35,75,47,0,45,2,6,0,8,0
160,Beverages,Caramel Iced Coffee (Small),130,40,4.5,3.0,0.0,15,35,22,0,21,1,4,0,4,0
161,Beverages,Caramel Iced Coffee (Medium),180,60,7.0,4.5,0.0,25,50,29,0,28,1,4,0,4,0
162,Beverages,Caramel Iced Coffee (Large),260,80,9.0,6.0,0.0,35,65,43,0,42,2,6,0,6,0
163,Beverages,Hazelnut Iced Coffee (Small),130,40,4.5,3.0,0.0,15,35,21,0,20,1,4,0,4,0
164,Beverages,Hazelnut Iced Coffee (Medium),180,60,7.0,4.5,0.0,25,50,29,0,28,1,4,0,4,0
165,Beverages,Hazelnut Iced Coffee (Large),250,80,9.0,6.0,0.0,35,75,43,0,41,2,6,0,8,0
166,Beverages,French Vanilla Iced Coffee (Small),120,40,4.5,3.0,0.0,15,40,20,0,19,1,4,0,4,0
167,Beverages,French Vanilla Iced Coffee (Medium),170,60,7.0,4.5,0.0,25,55,27,0,26,1,4,0,4,0
168,Beverages,French Vanilla Iced Coffee (Large),240,80,9.0,6.0,0.0,35,80,41,0,39,2,6,0,8,0
169,Beverages,Iced Coffee with Sugar Free French Vanilla Syrup (Small),80,40,4.5,3.0,0.0,15,65,9,0,1,1,4,0,4,0
170,Beverages,Iced Coffee with Sugar Free French Vanilla Syrup (Medium),120,60,7.0,4.5,0.0,25,90,12,0,2,1,4,0,4,0
