"";"Product_Name";"Food_Category";"Calories";"Total_Fat.g";"Sodium.mg";"Total_Carbs.g";"Sugars.g";"Protein.g";"Calories_FGC";"Fat_FGC";"Sodium_FGC";"Carboidrati_FGC";"Zucchero_FGC";"Proteine_FGC"
"NA.90";"BK®Breakfast Muffin Sandwich ham; egg and Cheese";"Breakfast";19;9;7;23;3;18;0,8;14,5;0,5;10,2;8;32,1
"NA.91";"BK®Breakfast Muffin Sandwich bacon; egg and Cheese";"Breakfast";19;11;93;22;2;14;0,8;17,7;6,2;9,8;5,3;25
"NA.92";"BK™ Ultimate Breakfast Platter";"Breakfast";4;84;46;134;41;40;0,2;135,5;3,1;59,6;109,3;71,4
"NA.93";"Pancake and Sausage platter";"Breakfast";59;34;2;78;36;14;2,5;54,8;0,1;34,7;96;25
"NA.94";"Pancakes (3) and 1 oz breakfast syrup";"Breakfast";44;19;87;77;36;7;1,8;30,6;5,8;34,2;96;12,5
"NA.95";"CROISSAN’WICH® Egg & Cheese";"Breakfast";22;15;83;25;4;12;0,9;24,2;5,5;11,1;10,7;21,4
"NA.96";"CROISSAN’WICH® Sausage & Cheese";"Breakfast";33;26;87;25;3;13;1,4;41,9;5,8;11,1;8;23,2
"NA.97";"CROISSAN’WICH® Sausage; Egg & Cheese";"Breakfast";39;30;101;26;4;19;1,6;48,4;6,7;11,6;10,7;33,9
"NA.98";"CROISSAN’WICH® Ham; Egg & Cheese";"Breakfast";25;15;4;26;5;17;1;24,2;0,3;11,6;13,3;30,4
"NA.99";"CROISSAN’WICH® Bacon; Egg & Cheese";"Breakfast";26;18;88;25;4;13;1,1;29;5,9;11,1;10,7;23,2
"NA.100";"DOUBLE CROISSAN’WICH™ w/ Sausage; Egg; & Cheese";"Breakfast";58;48;23;27;4;29;2,4;77,4;1,5;12;10,7;51,8
"NA.101";"DOUBLE CROISSAN’WICH™ w/ ham; Egg; & Cheese";"Breakfast";33;19;31;27;6;26;1,4;30,6;2,1;12;16;46,4
"NA.102";"DOUBLE CROISSAN’WICH™ w/ Bacon; Egg; & Cheese";"Breakfast";33;24;3;25;4;18;1,4;38,7;0,2;11,1;10,7;32,1
"NA.103";"DOUBLE CROISSAN’WICH™ w/ Sausage; Bacon; Egg; & Cheese";"Breakfast";47;36;10;26;4;23;2;58,1;0,7;11,6;10,7;41,1
"NA.104";"DOUBLE CROISSAN’WICH™ w/ Ham; Bacon; Egg; & Cheese";"Breakfast";33;22;18;26;5;22;1,4;35,5;1,2;11,6;13,3;39,3
"NA.105";"DOUBLE CROISSAN’WICH™ w/ Ham; Sausage; Egg; & Cheese";"Breakfast";47;34;27;27;5;27;2;54,8;1,8;12;13,3;48,2
"NA.106";"Sausage Biscuit";"Breakfast";36;27;7;32;3;13;1,5;43,5;0,5;14,2;8;23,2
"NA.107";"Sausage; Egg; & Cheese Biscuit";"Breakfast";46;34;25;33;3;20;1,9;54,8;1,7;14,7;8;35,7
"NA.108";"Bacon; Egg & Cheese Biscuit";"Breakfast";36;25;22;32;4;17;1,5;40,3;1,5;14,2;10,7;30,4
"NA.109";"Country Ham and Egg Biscuit";"Breakfast";36;23;37;32;3;18;1,5;37,1;2,5;14,2;8;32,1
"NA.110";"Cinnabon® Roll- One";"Breakfast";24;11;55;45;20;6;1;17,7;3,7;20;53,3;10,7
"NA.111";"Hash Browns – small";"Breakfast";19;16;67;24;0;2;0,8;25,8;4,5;10,7;0;3,6
"NA.112";"Hash Browns – medium";"Breakfast";44;33;95;48;0;4;1,8;53,2;6,3;21,3;0;7,1
"NA.113";"Hash Browns – large";"Breakfast";59;44;6;65;0;5;2,5;71;0,4;28,9;0;8,9
"NA.114";"French Toast Sticks (3 piece)";"Breakfast";16;11;53;29;8;3;0,7;17,7;3,5;12,9;21,3;5,4
"NA.115";"French Toast Sticks (5 piece)";"Breakfast";32;18;69;49;13;5;1,3;29;4,6;21,8;34,7;8,9
"NA.116";"Dutch Apple Pie";"Desserts";26;14;57;46;23;2;1,1;22,6;3,8;20,4;61,3;3,6
"NA.117";"HERSHEY®’S Sundae Pie";"Desserts";25;19;49;32;22;3;1;30,6;3,3;14,2;58,7;5,4
"NA.118";"Soft Serve Cone";"Desserts";9;4;41;27;20;4;0,4;6,5;2,7;12;53,3;7,1
"NA.119";"Soft Serve Cup";"Desserts";7;4;40;23;19;4;0,3;6,5;2,7;10,2;50,7;7,1
"NA.120";"Caramel Sundae";"Desserts";22;6;52;52;37;5;0,9;9,7;3,5;23,1;98,7;8,9
"NA.121";"Chocolate Fudge Sundae";"Desserts";22;7;49;50;43;6;0,9;11,3;3,3;22,2;114,7;10,7
"NA.122";"Strawberry Sundae";"Desserts";12;4;40;35;31;4;0,5;6,5;2,7;15,6;82,7;7,1
"NA.123";"OREO Sundae";"Desserts";38;12;64;77;57;8;1,6;19,4;4,3;34,2;152;14,3
"NA.124";"Mini M & M Sundae";"Desserts";39;13;58;76;62;8;1,6;21;3,9;33,8;165,3;14,3
"NA.125";"Brownie Sundae";"Desserts";47;17;64;89;70;10;2;27,4;4,3;39,6;186,7;17,9
"NA.126";"Chocolate Chip Cookies (2)";"Desserts";27;15;52;47;29;3;1,1;24,2;3,5;20,9;77,3;5,4
"NA.127";"White Chocolate Macadamia Nut Cookies (2)";"Desserts";28;18;51;44;28;4;1,2;29;3,4;19,6;74,7;7,1
"NA.128";"Oatmeal Raisin Cookies (2)";"Desserts";25;13;53;46;26;4;1;21;3,5;20,4;69,3;7,1
"NA.129";"Fat FREE Milk (8 fl oz)";"Smoothies & Shakes";72;0;40;13;12;9;3;0;2,7;5,8;32;16,1
"NA.130";"1% Low Fat Chocolate Milk (8 fl oz)";"Smoothies & Shakes";9;3;42;26;25;8;0,4;4,8;2,8;11,6;66,7;14,3
"NA.131";"Smoothie: Strawberry Banana 12 fl oz";"Smoothies & Shakes";13;0;47;48;40;1;0,5;0;3,1;21,3;106,7;1,8
"NA.132";"Smoothie: Strawberry Banana 16 fl oz";"Smoothies & Shakes";25;1;61;73;60;2;1;1,6;4,1;32,4;160;3,6
"NA.133";"Smoothie: Strawberry Banana 20 fl oz";"Smoothies & Shakes";35;1;74;97;81;3;1,5;1,6;4,9;43,1;216;5,4
"NA.134";"Smoothie: Tropical Mango- 12 fl oz";"Smoothies & Shakes";14;1;65;51;41;2;0,6;1,6;4,3;22,7;109,3;3,6
"NA.135";"Smoothie: Tropical Mango- 16 fl oz";"Smoothies & Shakes";27;1;84;78;63;3;1,1;1,6;5,6;34,7;168;5,4
"NA.136";"Smoothie: Tropical Mango- 20 fl oz";"Smoothies & Shakes";39;2;104;104;85;4;1,6;3,2;6,9;46,2;226,7;7,1
"NA.137";"Vanilla Milk Shake 12 fl oz";"Smoothies & Shakes";49;16;58;91;81;10;2;25,8;3,9;40,4;216;17,9
"NA.138";"Vanilla Milk Shake 16 fl oz";"Smoothies & Shakes";63;20;69;124;110;14;2,6;32,3;4,6;55,1;293,3;25
"NA.139";"Vanilla Milk Shake 20 fl oz";"Smoothies & Shakes";73;23;79;163;146;17;3;37,1;5,3;72,4;389,3;30,4
"NA.140";"Chocolate Milk Shake 12 fl oz";"Smoothies & Shakes";51;17;58;97;83;10;2,1;27,4;3,9;43,1;221,3;17,9
"NA.141";"Chocolate Milk Shake 16 fl oz";"Smoothies & Shakes";66;21;69;131;112;14;2,8;33,9;4,6;58,2;298,7;25
"NA.142";"Chocolate Milk Shake 20 fl oz";"Smoothies & Shakes";75;24;78;174;150;17;3,1;38,7;5,2;77,3;400;30,4
"NA.143";"Strawberry Milk Shake 12 fl oz";"Smoothies & Shakes";44;16;59;79;67;10;1,8;25,8;3,9;35,1;178,7;17,9
"NA.144";"Strawberry Milk Shake 16 fl oz";"Smoothies & Shakes";58;20;70;107;92;14;2,4;32,3;4,7;47,6;245,3;25
"NA.145";"Strawberry Milk Shake 20 fl oz";"Smoothies & Shakes";69;23;80;137;119;17;2,9;37,1;5,3;60,9;317,3;30,4
"NA.146";"Seattle’s Best Coffee® – Decaf- 16 fl oz";"Coffee & Tea";1;0;1;0;0;0;0;0;0,1;0;0;0
"NA.147";"Seattle’s Best Coffee®- Decaf- 20 fl oz";"Coffee & Tea";1;0;1;0;0;0;0;0;0,1;0;0;0
"NA.148";"Seattle’s Best Coffee®- Regular- 16 fl oz";"Coffee & Tea";1;0;1;0;0;0;0;0;0,1;0;0;0
