,Componenti,Valori nutrizionali,Prodotto,Categoria,Fast_Food
705, Protein (g),15,Spicy Buffalo Chicken Griller,Chicken & Fish,TacoBell
706, Total Fat (g),15.0,Spicy Buffalo Chicken Griller,Chicken & Fish,TacoBell
707,Total Carbs (g),40,Spicy Buffalo Chicken Griller,Chicken & Fish,TacoBell
708,Sodium (mg),810,Spicy Buffalo Chicken Griller,Chicken & Fish,TacoBell
709,Calories from Fat,140,Spicy Buffalo Chicken Griller,Chicken & Fish,TacoBell
710,Saturated Fat (g),4.5,Spicy Buffalo Chicken Griller,Chicken & Fish,TacoBell
711,Trans Fat (g),0.0,Spicy Buffalo Chicken Griller,Chicken & Fish,TacoBell
712,Cholesterol (mg),40,Spicy Buffalo Chicken Griller,Chicken & Fish,TacoBell
713,Fiber (g),3,Spicy Buffalo Chicken Griller,Chicken & Fish,TacoBell
714,Sugars (g),4,Spicy Buffalo Chicken Griller,Chicken & Fish,TacoBell
715,Calories,520,Steak Quesadilla,Snacks & Sides,TacoBell
716, Protein (g),27,Steak Quesadilla,Snacks & Sides,TacoBell
717, Total Fat (g),28.0,Steak Quesadilla,Snacks & Sides,TacoBell
718,Total Carbs (g),40,Steak Quesadilla,Snacks & Sides,TacoBell
719,Sodium (mg),1160,Steak Quesadilla,Snacks & Sides,TacoBell
720,Calories from Fat,250,Steak Quesadilla,Snacks & Sides,TacoBell
721,Saturated Fat (g),12.0,Steak Quesadilla,Snacks & Sides,TacoBell
722,Trans Fat (g),0.5,Steak Quesadilla,Snacks & Sides,TacoBell
723,Cholesterol (mg),70,Steak Quesadilla,Snacks & Sides,TacoBell
724,Fiber (g),4,Steak Quesadilla,Snacks & Sides,TacoBell
725,Sugars (g),3,Steak Quesadilla,Snacks & Sides,TacoBell
726,Calories,270,Tostada,Snacks & Sides,TacoBell
727, Protein (g),12,Tostada,Snacks & Sides,TacoBell
728, Total Fat (g),11.0,Tostada,Snacks & Sides,TacoBell
729,Total Carbs (g),31,Tostada,Snacks & Sides,TacoBell
730,Sodium (mg),650,Tostada,Snacks & Sides,TacoBell
731,Calories from Fat,100,Tostada,Snacks & Sides,TacoBell
732,Saturated Fat (g),4.0,Tostada,Snacks & Sides,TacoBell
733,Trans Fat (g),0.0,Tostada,Snacks & Sides,TacoBell
734,Cholesterol (mg),15,Tostada,Snacks & Sides,TacoBell
735,Fiber (g),8,Tostada,Snacks & Sides,TacoBell
736,Sugars (g),1,Tostada,Snacks & Sides,TacoBell
737,Calories,780,Fiesta Taco Salad-Beef,Salads,TacoBell
738, Protein (g),26,Fiesta Taco Salad-Beef,Salads,TacoBell
739, Total Fat (g),42.0,Fiesta Taco Salad-Beef,Salads,TacoBell
740,Total Carbs (g),74,Fiesta Taco Salad-Beef,Salads,TacoBell
741,Sodium (mg),1590,Fiesta Taco Salad-Beef,Salads,TacoBell
742,Calories from Fat,380,Fiesta Taco Salad-Beef,Salads,TacoBell
743,Saturated Fat (g),10.0,Fiesta Taco Salad-Beef,Salads,TacoBell
744,Trans Fat (g),1.0,Fiesta Taco Salad-Beef,Salads,TacoBell
745,Cholesterol (mg),55,Fiesta Taco Salad-Beef,Salads,TacoBell
746,Fiber (g),11,Fiesta Taco Salad-Beef,Salads,TacoBell
747,Sugars (g),7,Fiesta Taco Salad-Beef,Salads,TacoBell
748,Calories,730,Fiesta Taco Salad-Chicken,Salads,TacoBell
749, Protein (g),32,Fiesta Taco Salad-Chicken,Salads,TacoBell
750, Total Fat (g),35.0,Fiesta Taco Salad-Chicken,Salads,TacoBell
751,Total Carbs (g),71,Fiesta Taco Salad-Chicken,Salads,TacoBell
752,Sodium (mg),1470,Fiesta Taco Salad-Chicken,Salads,TacoBell
753,Calories from Fat,320,Fiesta Taco Salad-Chicken,Salads,TacoBell
754,Saturated Fat (g),7.0,Fiesta Taco Salad-Chicken,Salads,TacoBell
755,Trans Fat (g),0.0,Fiesta Taco Salad-Chicken,Salads,TacoBell
756,Cholesterol (mg),70,Fiesta Taco Salad-Chicken,Salads,TacoBell
757,Fiber (g),8,Fiesta Taco Salad-Chicken,Salads,TacoBell
758,Sugars (g),7,Fiesta Taco Salad-Chicken,Salads,TacoBell
759,Calories,750,Fiesta Taco Salad-Steak,Salads,TacoBell
760, Protein (g),33,Fiesta Taco Salad-Steak,Salads,TacoBell
761, Total Fat (g),36.0,Fiesta Taco Salad-Steak,Salads,TacoBell
762,Total Carbs (g),72,Fiesta Taco Salad-Steak,Salads,TacoBell
763,Sodium (mg),1410,Fiesta Taco Salad-Steak,Salads,TacoBell
764,Calories from Fat,330,Fiesta Taco Salad-Steak,Salads,TacoBell
765,Saturated Fat (g),8.0,Fiesta Taco Salad-Steak,Salads,TacoBell
766,Trans Fat (g),0.5,Fiesta Taco Salad-Steak,Salads,TacoBell
767,Cholesterol (mg),60,Fiesta Taco Salad-Steak,Salads,TacoBell
768,Fiber (g),9,Fiesta Taco Salad-Steak,Salads,TacoBell
769,Sugars (g),7,Fiesta Taco Salad-Steak,Salads,TacoBell
770,Calories,160,Chicken Soft Taco,Chicken & Fish,TacoBell
771, Protein (g),12,Chicken Soft Taco,Chicken & Fish,TacoBell
772, Total Fat (g),5.0,Chicken Soft Taco,Chicken & Fish,TacoBell
773,Total Carbs (g),16,Chicken Soft Taco,Chicken & Fish,TacoBell
774,Sodium (mg),480,Chicken Soft Taco,Chicken & Fish,TacoBell
775,Calories from Fat,50,Chicken Soft Taco,Chicken & Fish,TacoBell
776,Saturated Fat (g),2.5,Chicken Soft Taco,Chicken & Fish,TacoBell
777,Trans Fat (g),0.0,Chicken Soft Taco,Chicken & Fish,TacoBell
778,Cholesterol (mg),25,Chicken Soft Taco,Chicken & Fish,TacoBell
779,Fiber (g),2,Chicken Soft Taco,Chicken & Fish,TacoBell
780,Sugars (g),1,Chicken Soft Taco,Chicken & Fish,TacoBell
781,Calories,160,Cool Ranch® Doritos® Locos Taco,Beef & Pork,TacoBell
782, Protein (g),8,Cool Ranch® Doritos® Locos Taco,Beef & Pork,TacoBell
783, Total Fat (g),10.0,Cool Ranch® Doritos® Locos Taco,Beef & Pork,TacoBell
784,Total Carbs (g),13,Cool Ranch® Doritos® Locos Taco,Beef & Pork,TacoBell
785,Sodium (mg),370,Cool Ranch® Doritos® Locos Taco,Beef & Pork,TacoBell
786,Calories from Fat,90,Cool Ranch® Doritos® Locos Taco,Beef & Pork,TacoBell
787,Saturated Fat (g),3.5,Cool Ranch® Doritos® Locos Taco,Beef & Pork,TacoBell
788,Trans Fat (g),0.0,Cool Ranch® Doritos® Locos Taco,Beef & Pork,TacoBell
789,Cholesterol (mg),25,Cool Ranch® Doritos® Locos Taco,Beef & Pork,TacoBell
790,Fiber (g),3,Cool Ranch® Doritos® Locos Taco,Beef & Pork,TacoBell
791,Sugars (g),1,Cool Ranch® Doritos® Locos Taco,Beef & Pork,TacoBell
792,Calories,200,Cool Ranch® Doritos® Locos Taco Supreme,Beef & Pork,TacoBell
793, Protein (g),8,Cool Ranch® Doritos® Locos Taco Supreme,Beef & Pork,TacoBell
794, Total Fat (g),12.0,Cool Ranch® Doritos® Locos Taco Supreme,Beef & Pork,TacoBell
795,Total Carbs (g),15,Cool Ranch® Doritos® Locos Taco Supreme,Beef & Pork,TacoBell
796,Sodium (mg),390,Cool Ranch® Doritos® Locos Taco Supreme,Beef & Pork,TacoBell
797,Calories from Fat,110,Cool Ranch® Doritos® Locos Taco Supreme,Beef & Pork,TacoBell
798,Saturated Fat (g),5.0,Cool Ranch® Doritos® Locos Taco Supreme,Beef & Pork,TacoBell
799,Trans Fat (g),0.0,Cool Ranch® Doritos® Locos Taco Supreme,Beef & Pork,TacoBell
800,Cholesterol (mg),30,Cool Ranch® Doritos® Locos Taco Supreme,Beef & Pork,TacoBell
801,Fiber (g),3,Cool Ranch® Doritos® Locos Taco Supreme,Beef & Pork,TacoBell
802,Sugars (g),3,Cool Ranch® Doritos® Locos Taco Supreme,Beef & Pork,TacoBell
803,Calories,170,Crunchy Taco,Beef & Pork,TacoBell
804, Protein (g),8,Crunchy Taco,Beef & Pork,TacoBell
805, Total Fat (g),10.0,Crunchy Taco,Beef & Pork,TacoBell
806,Total Carbs (g),12,Crunchy Taco,Beef & Pork,TacoBell
807,Sodium (mg),310,Crunchy Taco,Beef & Pork,TacoBell
808,Calories from Fat,90,Crunchy Taco,Beef & Pork,TacoBell
809,Saturated Fat (g),3.5,Crunchy Taco,Beef & Pork,TacoBell
810,Trans Fat (g),0.0,Crunchy Taco,Beef & Pork,TacoBell
811,Cholesterol (mg),25,Crunchy Taco,Beef & Pork,TacoBell
812,Fiber (g),3,Crunchy Taco,Beef & Pork,TacoBell
813,Sugars (g),1,Crunchy Taco,Beef & Pork,TacoBell
814,Calories,200,Crunchy Taco Supreme®,Beef & Pork,TacoBell
815, Protein (g),9,Crunchy Taco Supreme®,Beef & Pork,TacoBell
816, Total Fat (g),12.0,Crunchy Taco Supreme®,Beef & Pork,TacoBell
817,Total Carbs (g),15,Crunchy Taco Supreme®,Beef & Pork,TacoBell
818,Sodium (mg),340,Crunchy Taco Supreme®,Beef & Pork,TacoBell
819,Calories from Fat,110,Crunchy Taco Supreme®,Beef & Pork,TacoBell
820,Saturated Fat (g),5.0,Crunchy Taco Supreme®,Beef & Pork,TacoBell
821,Trans Fat (g),0.0,Crunchy Taco Supreme®,Beef & Pork,TacoBell
822,Cholesterol (mg),30,Crunchy Taco Supreme®,Beef & Pork,TacoBell
823,Fiber (g),3,Crunchy Taco Supreme®,Beef & Pork,TacoBell
824,Sugars (g),2,Crunchy Taco Supreme®,Beef & Pork,TacoBell
825,Calories,350,DOUBLE DECKER® Taco Supreme®,Beef & Pork,TacoBell
826, Protein (g),14,DOUBLE DECKER® Taco Supreme®,Beef & Pork,TacoBell
827, Total Fat (g),16.0,DOUBLE DECKER® Taco Supreme®,Beef & Pork,TacoBell
828,Total Carbs (g),39,DOUBLE DECKER® Taco Supreme®,Beef & Pork,TacoBell
829,Sodium (mg),730,DOUBLE DECKER® Taco Supreme®,Beef & Pork,TacoBell
830,Calories from Fat,140,DOUBLE DECKER® Taco Supreme®,Beef & Pork,TacoBell
831,Saturated Fat (g),6.0,DOUBLE DECKER® Taco Supreme®,Beef & Pork,TacoBell
832,Trans Fat (g),0.0,DOUBLE DECKER® Taco Supreme®,Beef & Pork,TacoBell
833,Cholesterol (mg),30,DOUBLE DECKER® Taco Supreme®,Beef & Pork,TacoBell
834,Fiber (g),7,DOUBLE DECKER® Taco Supreme®,Beef & Pork,TacoBell
835,Sugars (g),3,DOUBLE DECKER® Taco Supreme®,Beef & Pork,TacoBell
836,Calories,320,Double Decker® Taco,Beef & Pork,TacoBell
837, Protein (g),14,Double Decker® Taco,Beef & Pork,TacoBell
838, Total Fat (g),14.0,Double Decker® Taco,Beef & Pork,TacoBell
839,Total Carbs (g),36,Double Decker® Taco,Beef & Pork,TacoBell
840,Sodium (mg),710,Double Decker® Taco,Beef & Pork,TacoBell
841,Calories from Fat,120,Double Decker® Taco,Beef & Pork,TacoBell
842,Saturated Fat (g),5.0,Double Decker® Taco,Beef & Pork,TacoBell
843,Trans Fat (g),0.0,Double Decker® Taco,Beef & Pork,TacoBell
844,Cholesterol (mg),25,Double Decker® Taco,Beef & Pork,TacoBell
845,Fiber (g),7,Double Decker® Taco,Beef & Pork,TacoBell
846,Sugars (g),2,Double Decker® Taco,Beef & Pork,TacoBell
847,Calories,170,Fiery Doritos® Locos Taco,Beef & Pork,TacoBell
848, Protein (g),8,Fiery Doritos® Locos Taco,Beef & Pork,TacoBell
849, Total Fat (g),10.0,Fiery Doritos® Locos Taco,Beef & Pork,TacoBell
850,Total Carbs (g),12,Fiery Doritos® Locos Taco,Beef & Pork,TacoBell
851,Sodium (mg),370,Fiery Doritos® Locos Taco,Beef & Pork,TacoBell
852,Calories from Fat,90,Fiery Doritos® Locos Taco,Beef & Pork,TacoBell
853,Saturated Fat (g),3.5,Fiery Doritos® Locos Taco,Beef & Pork,TacoBell
854,Trans Fat (g),0.0,Fiery Doritos® Locos Taco,Beef & Pork,TacoBell
855,Cholesterol (mg),25,Fiery Doritos® Locos Taco,Beef & Pork,TacoBell
856,Fiber (g),3,Fiery Doritos® Locos Taco,Beef & Pork,TacoBell
857,Sugars (g),1,Fiery Doritos® Locos Taco,Beef & Pork,TacoBell
858,Calories,200,Fiery Doritos® Locos Taco Supreme,Beef & Pork,TacoBell
859, Protein (g),9,Fiery Doritos® Locos Taco Supreme,Beef & Pork,TacoBell
860, Total Fat (g),12.0,Fiery Doritos® Locos Taco Supreme,Beef & Pork,TacoBell
861,Total Carbs (g),15,Fiery Doritos® Locos Taco Supreme,Beef & Pork,TacoBell
862,Sodium (mg),390,Fiery Doritos® Locos Taco Supreme,Beef & Pork,TacoBell
863,Calories from Fat,110,Fiery Doritos® Locos Taco Supreme,Beef & Pork,TacoBell
864,Saturated Fat (g),5.0,Fiery Doritos® Locos Taco Supreme,Beef & Pork,TacoBell
865,Trans Fat (g),0.0,Fiery Doritos® Locos Taco Supreme,Beef & Pork,TacoBell
866,Cholesterol (mg),30,Fiery Doritos® Locos Taco Supreme,Beef & Pork,TacoBell
867,Fiber (g),3,Fiery Doritos® Locos Taco Supreme,Beef & Pork,TacoBell
868,Sugars (g),2,Fiery Doritos® Locos Taco Supreme,Beef & Pork,TacoBell
869,Calories,200,Grilled Steak Soft Taco,Beef & Pork,TacoBell
870, Protein (g),13,Grilled Steak Soft Taco,Beef & Pork,TacoBell
871, Total Fat (g),9.0,Grilled Steak Soft Taco,Beef & Pork,TacoBell
872,Total Carbs (g),17,Grilled Steak Soft Taco,Beef & Pork,TacoBell
873,Sodium (mg),450,Grilled Steak Soft Taco,Beef & Pork,TacoBell
874,Calories from Fat,80,Grilled Steak Soft Taco,Beef & Pork,TacoBell
875,Saturated Fat (g),3.0,Grilled Steak Soft Taco,Beef & Pork,TacoBell
876,Trans Fat (g),0.0,Grilled Steak Soft Taco,Beef & Pork,TacoBell
877,Cholesterol (mg),30,Grilled Steak Soft Taco,Beef & Pork,TacoBell
878,Fiber (g),2,Grilled Steak Soft Taco,Beef & Pork,TacoBell
879,Sugars (g),2,Grilled Steak Soft Taco,Beef & Pork,TacoBell
880,Calories,170,Nacho Cheese Doritos® Locos Taco,Beef & Pork,TacoBell
881, Protein (g),8,Nacho Cheese Doritos® Locos Taco,Beef & Pork,TacoBell
882, Total Fat (g),10.0,Nacho Cheese Doritos® Locos Taco,Beef & Pork,TacoBell
883,Total Carbs (g),13,Nacho Cheese Doritos® Locos Taco,Beef & Pork,TacoBell
884,Sodium (mg),360,Nacho Cheese Doritos® Locos Taco,Beef & Pork,TacoBell
885,Calories from Fat,90,Nacho Cheese Doritos® Locos Taco,Beef & Pork,TacoBell
886,Saturated Fat (g),3.5,Nacho Cheese Doritos® Locos Taco,Beef & Pork,TacoBell
887,Trans Fat (g),0.0,Nacho Cheese Doritos® Locos Taco,Beef & Pork,TacoBell
888,Cholesterol (mg),25,Nacho Cheese Doritos® Locos Taco,Beef & Pork,TacoBell
889,Fiber (g),3,Nacho Cheese Doritos® Locos Taco,Beef & Pork,TacoBell
890,Sugars (g),1,Nacho Cheese Doritos® Locos Taco,Beef & Pork,TacoBell
891,Calories,200,Nacho Cheese Doritos® Locos Taco Supreme,Beef & Pork,TacoBell
892, Protein (g),9,Nacho Cheese Doritos® Locos Taco Supreme,Beef & Pork,TacoBell
893, Total Fat (g),12.0,Nacho Cheese Doritos® Locos Taco Supreme,Beef & Pork,TacoBell
894,Total Carbs (g),15,Nacho Cheese Doritos® Locos Taco Supreme,Beef & Pork,TacoBell
895,Sodium (mg),390,Nacho Cheese Doritos® Locos Taco Supreme,Beef & Pork,TacoBell
896,Calories from Fat,100,Nacho Cheese Doritos® Locos Taco Supreme,Beef & Pork,TacoBell
897,Saturated Fat (g),5.0,Nacho Cheese Doritos® Locos Taco Supreme,Beef & Pork,TacoBell
898,Trans Fat (g),0.0,Nacho Cheese Doritos® Locos Taco Supreme,Beef & Pork,TacoBell
899,Cholesterol (mg),30,Nacho Cheese Doritos® Locos Taco Supreme,Beef & Pork,TacoBell
900,Fiber (g),3,Nacho Cheese Doritos® Locos Taco Supreme,Beef & Pork,TacoBell
901,Sugars (g),2,Nacho Cheese Doritos® Locos Taco Supreme,Beef & Pork,TacoBell
902,Calories,220,Soft Taco Supreme® – Beef,Beef & Pork,TacoBell
903, Protein (g),10,Soft Taco Supreme® – Beef,Beef & Pork,TacoBell
904, Total Fat (g),11.0,Soft Taco Supreme® – Beef,Beef & Pork,TacoBell
905,Total Carbs (g),20,Soft Taco Supreme® – Beef,Beef & Pork,TacoBell
906,Sodium (mg),520,Soft Taco Supreme® – Beef,Beef & Pork,TacoBell
907,Calories from Fat,100,Soft Taco Supreme® – Beef,Beef & Pork,TacoBell
908,Saturated Fat (g),5.0,Soft Taco Supreme® – Beef,Beef & Pork,TacoBell
909,Trans Fat (g),0.0,Soft Taco Supreme® – Beef,Beef & Pork,TacoBell
910,Cholesterol (mg),30,Soft Taco Supreme® – Beef,Beef & Pork,TacoBell
911,Fiber (g),3,Soft Taco Supreme® – Beef,Beef & Pork,TacoBell
912,Sugars (g),3,Soft Taco Supreme® – Beef,Beef & Pork,TacoBell
913,Calories,190,Soft Taco-Beef,Beef & Pork,TacoBell
914, Protein (g),9,Soft Taco-Beef,Beef & Pork,TacoBell
915, Total Fat (g),9.0,Soft Taco-Beef,Beef & Pork,TacoBell
916,Total Carbs (g),18,Soft Taco-Beef,Beef & Pork,TacoBell
917,Sodium (mg),500,Soft Taco-Beef,Beef & Pork,TacoBell
918,Calories from Fat,80,Soft Taco-Beef,Beef & Pork,TacoBell
919,Saturated Fat (g),4.0,Soft Taco-Beef,Beef & Pork,TacoBell
920,Trans Fat (g),0.0,Soft Taco-Beef,Beef & Pork,TacoBell
921,Cholesterol (mg),25,Soft Taco-Beef,Beef & Pork,TacoBell
922,Fiber (g),3,Soft Taco-Beef,Beef & Pork,TacoBell
923,Sugars (g),1,Soft Taco-Beef,Beef & Pork,TacoBell
