,Componenti,Valori nutrizionali,Prodotto,Categoria,Fast_Food
148,Calories from Fat,320,Smothered Burrito – Beef,Beef & Pork,TacoBell
149,Saturated Fat (g),13.0,Smothered Burrito – Beef,Beef & Pork,TacoBell
150,Trans Fat (g),1.0,Smothered Burrito – Beef,Beef & Pork,TacoBell
151,Cholesterol (mg),75,Smothered Burrito – Beef,Beef & Pork,TacoBell
152,Fiber (g),10,Smothered Burrito – Beef,Beef & Pork,TacoBell
153,Sugars (g),4,Smothered Burrito – Beef,Beef & Pork,TacoBell
154,Calories,650,Smothered Burrito – Shredded Chicken,Chicken & Fish,TacoBell
155, Protein (g),34,Smothered Burrito – Shredded Chicken,Chicken & Fish,TacoBell
156, Total Fat (g),28.0,Smothered Burrito – Shredded Chicken,Chicken & Fish,TacoBell
157,Total Carbs (g),67,Smothered Burrito – Shredded Chicken,Chicken & Fish,TacoBell
158,Sodium (mg),2230,Smothered Burrito – Shredded Chicken,Chicken & Fish,TacoBell
159,Calories from Fat,250,Smothered Burrito – Shredded Chicken,Chicken & Fish,TacoBell
160,Saturated Fat (g),10.0,Smothered Burrito – Shredded Chicken,Chicken & Fish,TacoBell
161,Trans Fat (g),0.0,Smothered Burrito – Shredded Chicken,Chicken & Fish,TacoBell
162,Cholesterol (mg),70,Smothered Burrito – Shredded Chicken,Chicken & Fish,TacoBell
163,Fiber (g),8,Smothered Burrito – Shredded Chicken,Chicken & Fish,TacoBell
164,Sugars (g),4,Smothered Burrito – Shredded Chicken,Chicken & Fish,TacoBell
165,Calories,670,Smothered Burrito – Steak,Beef & Pork,TacoBell
166, Protein (g),35,Smothered Burrito – Steak,Beef & Pork,TacoBell
167, Total Fat (g),29.0,Smothered Burrito – Steak,Beef & Pork,TacoBell
168,Total Carbs (g),68,Smothered Burrito – Steak,Beef & Pork,TacoBell
169,Sodium (mg),2080,Smothered Burrito – Steak,Beef & Pork,TacoBell
170,Calories from Fat,260,Smothered Burrito – Steak,Beef & Pork,TacoBell
171,Saturated Fat (g),11.0,Smothered Burrito – Steak,Beef & Pork,TacoBell
172,Trans Fat (g),0.5,Smothered Burrito – Steak,Beef & Pork,TacoBell
173,Cholesterol (mg),80,Smothered Burrito – Steak,Beef & Pork,TacoBell
174,Fiber (g),7,Smothered Burrito – Steak,Beef & Pork,TacoBell
175,Sugars (g),4,Smothered Burrito – Steak,Beef & Pork,TacoBell
176,Calories,380,Steak & Egg Burrito,Beef & Pork,TacoBell
177, Protein (g),19,Steak & Egg Burrito,Beef & Pork,TacoBell
178, Total Fat (g),17.0,Steak & Egg Burrito,Beef & Pork,TacoBell
179,Total Carbs (g),37,Steak & Egg Burrito,Beef & Pork,TacoBell
180,Sodium (mg),790,Steak & Egg Burrito,Beef & Pork,TacoBell
181,Calories from Fat,160,Steak & Egg Burrito,Beef & Pork,TacoBell
182,Saturated Fat (g),5.0,Steak & Egg Burrito,Beef & Pork,TacoBell
183,Trans Fat (g),0.0,Steak & Egg Burrito,Beef & Pork,TacoBell
184,Cholesterol (mg),115,Steak & Egg Burrito,Beef & Pork,TacoBell
185,Fiber (g),3,Steak & Egg Burrito,Beef & Pork,TacoBell
186,Sugars (g),3,Steak & Egg Burrito,Beef & Pork,TacoBell
187,Calories,780,Volcano Burrito,Beef & Pork,TacoBell
188, Protein (g),23,Volcano Burrito,Beef & Pork,TacoBell
189, Total Fat (g),41.0,Volcano Burrito,Beef & Pork,TacoBell
190,Total Carbs (g),79,Volcano Burrito,Beef & Pork,TacoBell
191,Sodium (mg),1650,Volcano Burrito,Beef & Pork,TacoBell
192,Calories from Fat,370,Volcano Burrito,Beef & Pork,TacoBell
193,Saturated Fat (g),12.0,Volcano Burrito,Beef & Pork,TacoBell
194,Trans Fat (g),1.0,Volcano Burrito,Beef & Pork,TacoBell
195,Cholesterol (mg),65,Volcano Burrito,Beef & Pork,TacoBell
196,Fiber (g),9,Volcano Burrito,Beef & Pork,TacoBell
197,Sugars (g),6,Volcano Burrito,Beef & Pork,TacoBell
198,Calories,880,XXL Grilled Stuft Burrito – Beef,Beef & Pork,TacoBell
199, Protein (g),32,XXL Grilled Stuft Burrito – Beef,Beef & Pork,TacoBell
200, Total Fat (g),42.0,XXL Grilled Stuft Burrito – Beef,Beef & Pork,TacoBell
201,Total Carbs (g),93,XXL Grilled Stuft Burrito – Beef,Beef & Pork,TacoBell
202,Sodium (mg),2200,XXL Grilled Stuft Burrito – Beef,Beef & Pork,TacoBell
203,Calories from Fat,380,XXL Grilled Stuft Burrito – Beef,Beef & Pork,TacoBell
204,Saturated Fat (g),14.0,XXL Grilled Stuft Burrito – Beef,Beef & Pork,TacoBell
205,Trans Fat (g),1.0,XXL Grilled Stuft Burrito – Beef,Beef & Pork,TacoBell
